;;;;;;;;;;;;;x
FHD_absolute_monarchy;United Kingdom of India;;;;;;;;;;;;x 
FHD_ADJ;Indian;;;;;;;;;;;;x
FHD_democracy;Indian Republic;;;;;;;;;;;;x 
FHD_fascist_dictatorship;State of India;;;;;;;;;;;;x 
FHD_hms_government;United Kingdom of India;;;;;;;;;;;;x 
FHD_presidential_dictatorship;Indian Military Republic;;;;;;;;;;;;x
FHD_proletarian_democracy;People's Republic of India;;;;;;;;;;;;x 
FHD_proletarian_dictatorship;Indian Socialist Union;;;;;;;;;;;;x 
FHD_prussian_constitutionalism;United Kingdom of India;;;;;;;;;;;;x 
FIJ;Fiji;Fiji;Fiji;;;;;;;;;;;
FIJ;Fiji;Fiji;Fiji;;;;;;;;;;;;x
FIJ_ADJ;Fijian;Fijian;Fijian;;;;;;;;;;;
FIJ_ADJ;Fijian;Fijian;Fijian;;;;;;;;;;;;x
finnougric;Finno-Ugric;;;;;;;;;;;;;
FIN_fascist;Is‰nmaallinen kansanliike;;;;;;;;;;;;;
FIU;Fiume;Fiume;Fiume;;;;;;;;;;;
FIU;Fiume;Fiume;Fiume;;;;;;;;;;;x
FIU_ADJ;Fiumani;Fiumani;Fiumani;;;;;;;;;;;
FIU_ADJ;Fiumani;Fiumani;Fiumani;;;;;;;;;;;x
FIU_anarcho_liberal;Radicali;Radical;Radikal;;;;;;;;;;;
FIU_anarcho_liberal;Radicali;Radical;Radikal;;;;;;;;;;;x
FIU_bourgeois_dictatorship;Carnaro;;;;;;;;;;;;;
FIU_bourgeois_dictatorship;Italian Regency of Carnaro;RÇgence italienne du Carnaro;Italienische Regentschaft am Quarnero;;;;;;;;;;;x
FIU_communist;Partito Comunista di Fiume;Partito Comunista di Fiume;Partito Comunista di Fiume;;;;;;;;;;;
FIU_communist;Partito Comunista di Fiume;Partito Comunista di Fiume;Partito Comunista di Fiume;;;;;;;;;;;x
FIU_conservative;Partito Autonomo;Partito Autonomo;Partito Autonomo;;;;;;;;;;;
FIU_conservative;Partito Autonomo;Partito Autonomo;Partito Autonomo;;;;;;;;;;;x
FIU_democracy;Free State of Fiume;êtat libre de Fiume;Freistaat Fiume;;;;;;;;;;;
FIU_democracy;Free State of Fiume;êtat libre de Fiume;Freistaat Fiume;;;;;;;;;;;x
FIU_fascist;Fascisti;Fasciste;Faschistisch;;;;;;;;;;;
FIU_fascist;Fascisti;Fasciste;Faschistisch;;;;;;;;;;;x
FIU_fascist_dictatorship;Carnaro;;;;;;;;;;;;;
FIU_fascist_dictatorship;Italian Regency of Carnaro;RÇgence italienne du Carnaro;Italienische Regentschaft am Quarnero;;;;;;;;;;;x
FIU_liberal;Partito Liberale;Partito Liberale;Partito Liberale;;;;;;;;;;;
FIU_liberal;Partito Liberale;Partito Liberale;Partito Liberale;;;;;;;;;;;x
FIU_presidential_dictatorship;Carnaro;;;;;;;;;;;;;
FIU_presidential_dictatorship;Italian Regency of Carnaro;RÇgence italienne du Carnaro;Italienische Regentschaft am Quarnero;;;;;;;;;;;x
FIU_reactionary;Nazionalisti;Nazionalisti;Nazionalisti;;;;;;;;;;;
FIU_reactionary;Nazionalisti;Nazionalisti;Nazionalisti;;;;;;;;;;;x
FIU_socialist;Partito Socialista di Fiume;Partito Socialista di Fiume;Partito Socialista di Fiume;;;;;;;;;;;
FIU_socialist;Partito Socialista di Fiume;Partito Socialista di Fiume;Partito Socialista di Fiume;;;;;;;;;;;x
FJN;Fujian;;;;;;;;;;;;;
FJN;Fujian;;;;;;;;;;;;x
FJN_ADJ;Fujian;;;;;;;;;;;;;
FJN_ADJ;Fujian;;;;;;;;;;;;x
FJN_anarcho_liberal;Freedom Party;Parti de la libertÈ;Freiheitspartei;;;;;;;;;;;
FJN_anarcho_liberal;Freedom Party;Parti de la libertÈ;Freiheitspartei;;;;;;;;;;;x
FJN_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;;;;;;;;;;;
FJN_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;;;;;;;;;;;x
FJN_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
FJN_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;x
FJN_fascist;Min Party;Parti fasciste;Faschistische Partei;;;;;;;;;;;
FJN_fascist;Min Party;Parti fasciste;Faschistische Partei;;;;;;;;;;;x
FJN_fascist_dictatorship;Min Republic;;;;;;;;;;;;;
FJN_fascist_dictatorship;Min Republic;;;;;;;;;;;;x
FJN_fascist_dictatorship_ADJ;Min;;;;;;;;;;;;;
FJN_fascist_dictatorship_ADJ;Min;;;;;;;;;;;;x
FJN_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;
FJN_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;x
FJN_presidential_dictatorship;Fujian Clique;;;;;;;;;;;;;
FJN_presidential_dictatorship;Fujian Clique;;;;;;;;;;;;x
FJN_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;;;;;;;;;;;
FJN_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;;;;;;;;;;;x
FJN_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;;;;;;;;;;;
FJN_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;;;;;;;;;;;x
forest_bantu;Northwest Bantu;;;;;;;;;;;;;
FRA_absolute_monarchy;Kingdom of France;;;;;;;;;;;;x
FRA_anarcho_liberal;RÈpublicain Radical;;;;;;;;;;;;;
FRA_conservative;OrlÈaniste;OrlÈaniste;OrlÈaniste;;OrlÈaniste;;;;;;;;;
FRA_conservative;OrlÈaniste;OrlÈaniste;OrlÈaniste;;OrlÈaniste;;;;;;;;;x
FRA_conservative_2;Bonapartiste;Bonapartiste;Bonapartiste;;Bonapartiste;;;;;;;;;
FRA_conservative_2;Bonapartiste;Bonapartiste;Bonapartiste;;Bonapartiste;;;;;;;;;x
FRA_conservative_3;RÈpublicain modÈrÈ;RÈpublicain modÈrÈ;RÈpublicain modÈrÈ;;RÈpublicain modÈrÈ;;;;;;;;;
FRA_conservative_3;RÈpublicain modÈrÈ;RÈpublicain modÈrÈ;RÈpublicain modÈrÈ;;RÈpublicain modÈrÈ;;;;;;;;;x
FRA_conservative_4;OrlÈaniste;OrlÈaniste;OrlÈaniste;;OrlÈaniste;;;;;;;;;
FRA_conservative_4;OrlÈaniste;OrlÈaniste;OrlÈaniste;;OrlÈaniste;;;;;;;;;x
FRA_conservative_5;Royaliste;Royaliste;Royaliste;;Royaliste;;;;;;;;;
FRA_conservative_5;Royaliste;Royaliste;Royaliste;;Royaliste;;;;;;;;;x
FRA_consulate_monarchy;Empire of the French;;;;;;;;;;;;x
FRA_fascist;Croix-de-Feu;;;;;;;;;;;;x
FRA_fascist;Parti Franciste;;;;;;;;;;;;;
FRA_hms_government;Kingdom of France;;;;;;;;;;;;x
FRA_liberal;RÈpublicain;RÈpublicain;RÈpublicain;;RÈpublicain;;;;;;;;;
FRA_liberal;RÈpublicain;RÈpublicain;RÈpublicain;;RÈpublicain;;;;;;;;;x
FRA_liberal_2;Union libÈrale;;;;;;;;;;;;;
FRA_liberal_2;Union libÈrale;;;;;;;;;;;;x
FRA_liberal_3;RÈpublicain libÈrale;;;;;;;;;;;;;
FRA_liberal_3;RÈpublicain libÈrale;;;;;;;;;;;;x
FRA_prussian_constitutionalism;Kingdom of France;;;;;;;;;;;;x
FRA_reactionary_2;Droite Nationaliste;;;;;;;;;;;;;
FRA_restored_monarchy;Kingdom of the French;;;;;;;;;;;;x 
FRB;France;;;;;;;;;;;;x 
FRB_absolute_monarchy;Kingdom of France;;;;;;;;;;;;x 
FRB_ADJ;French;;;;;;;;;;;;x 
FRB_hms_government;Kingdom of France;;;;;;;;;;;;x  
FRB_prussian_constitutionalism;Kingdom of France;;;;;;;;;;;;x  
FRE;France;;;;;;;;;;;;x 
FRE_absolute_monarchy;French Empire;;;;;;;;;;;;x  
FRE_ADJ;French;;;;;;;;;;;;x 
FRE_hms_government;Empire of the French;;;;;;;;;;;;x 
FRE_prussian_constitutionalism;Empire of the French;;;;;;;;;;;;x 
FRK;Francia;;;;;;;;;;;;;x
FRK_absolute_monarchy;Frankish Empire;;;;;;;;;;;;;x
FRK_ADJ;Frankish;;;;;;;;;;;;;x
FRK_hms_government;Frankish Empire;;;;;;;;;;;;;x
FRK_prussian_constitutionalism;Frankish Empire;;;;;;;;;;;;;x
FRO;Faroe Islands;;;;;;;;;;;;;
FRO_ADJ;Faroese;;;;;;;;;;;;;
FRO_anarcho_liberal;Vinnuflokkurin;;;;;;;;;;;;;
FRO_communist;Kommunistiski Flokkur F¯roya;;;;;;;;;;;;;
FRO_conservative;Sambandsflokkurin;;;;;;;;;;;;;
FRO_fascist;Loysingarflokkurin;;;;;;;;;;;;;
FRO_liberal;Sj·lvst˝risflokkurin;;;;;;;;;;;;;
FRO_reactionary;Hin F¯royski Flokkurin;;;;;;;;;;;;;
FRO_socialist;Javnaarflokkurin;;;;;;;;;;;;;
FSA;The Free States of America;;;;;;;;;;;;;
FSA;The Free States of America;;;;;;;;;;;;x
FSA_absolute_monarchy;The Free American Empire;;;;;;;;;;;;;
FSA_absolute_monarchy;The Free American Empire;;;;;;;;;;;;x
FSA_ADJ;American;;;;;;;;;;;;;
FSA_ADJ;Free American;;;;;;;;;;;;x
FSA_proletarian_dictatorship;The Free American Republic;;;;;;;;;;;;;
FSA_proletarian_dictatorship;The Free American Republic;;;;;;;;;;;;x
FSA_prussian_constitutionalism;The Free American Empire;;;;;;;;;;;;;
FSA_prussian_constitutionalism;The Free American Empire;;;;;;;;;;;;x
FSM;Micronesia;Micronesia;Micronesia;;;;;;;;;;;
FSM;Micronesia;Micronesia;Micronesia;;;;;;;;;;;;x
FSM_ADJ;Micronesian;Micronesian;Micronesian;;;;;;;;;;;
FSM_ADJ;Micronesian;Micronesian;Micronesian;;;;;;;;;;;;x
FSM_anarcho_liberal;Radical Party;Radical Party;Radical Party;;;;;;;;;;;
FSM_anarcho_liberal;Radical Party;Radical Party;Radical Party;;;;;;;;;;;;x
FSM_communist;Communist Party;Communist Party;Communist Party;;;;;;;;;;;
FSM_communist;Communist Party;Communist Party;Communist Party;;;;;;;;;;;;x
FSM_conservative;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;
FSM_conservative;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;;x
FSM_fascist;Fascist Party;Fascist Party;Fascist Party;;;;;;;;;;;
FSM_fascist;Fascist Party;Fascist Party;Fascist Party;;;;;;;;;;;;x
FSM_liberal;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;
FSM_liberal;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;;x
FSM_reactionary;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;
FSM_reactionary;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;;x
FSM_socialist;Labour Party;Labour Party;Labour Party;;;;;;;;;;;
FSM_socialist;Labour Party;Labour Party;Labour Party;;;;;;;;;;;;x
GAB;Gabon;;;;;;;;;;;;;
GAB;Gabon;;;;;;;;;;;;x
GAB_ADJ;Gabonese;;;;;;;;;;;;;
GAB_ADJ;Gabonese;;;;;;;;;;;;x
GAB_anarcho_liberal;Defense of Gabonese Interests;;;;;;;;;;;;;
GAB_communist;Union, Work, Progress;;;;;;;;;;;;;
GAB_conservative;Democratic and Social Union;;;;;;;;;;;;;
GAB_fascist;People's Unity Party;;;;;;;;;;;;;
GAB_liberal;Circle of Liberal Reformers;;;;;;;;;;;;;
GAB_reactionary;Gabonese Democratic Bloc;;;;;;;;;;;;;
GAB_socialist;Young Gabonese;;;;;;;;;;;;;
GAL;G·llia;;;;;;;;;;;;;x
galicio_asturian;Galicio-Asturian;Galicio-Asturien;Galicisch-Asturisch;;;;;;;;;;;
galicio_asturian;Galicio-Asturian;Galicio-Asturien;Galicisch-Asturisch;;;;;;;;;;;x
GAL_absolute_monarchy;Gallic Empire;;;;;;;;;;;;;x
GAL_ADJ;Gallic;;;;;;;;;;;;;x 
GAL_democracy;Gallic Republic;;;;;;;;;;;;;x
GAL_hms_government;Gallic Empire;;;;;;;;;;;;;x
GAL_prussian_constitutionalism;Gallic Empire;;;;;;;;;;;;;x
GAZ;Gaza;;;;;;;;;;;;;
GAZ_ADJ;Nguni;;;;;;;;;;;;;
GAZ_anarcho_liberal;Freedom Faction;;;;;;;;;;;;;
GAZ_communist;Communist Party;;;;;;;;;;;;;
GAZ_conservative;King's Faction;;;;;;;;;;;;;
GAZ_fascist;Fascist Faction;;;;;;;;;;;;;
GAZ_liberal;Reform Faction;;;;;;;;;;;;;
GAZ_reactionary;Traditionalist faction;;;;;;;;;;;;;
GAZ_socialist;People's Front;;;;;;;;;;;;;
GBR;Gran Bolivar Union;;;;;;;;;;;;;x
GBR_absolute_monarchy;Empire of New Granada;;;;;;;;;;;;;x
GBR_absolute_monarchy_ADJ;New Granadan;;;;;;;;;;;;;x
GBR_ADJ;Bolivar;;;;;;;;;;;;;x
GBR_democracy;Gran Union Republic;;;;;;;;;;;;;x
GBR_hms_government;Empire of New Granada;;;;;;;;;;;;;x
GBR_hms_government_ADJ;New Granadan;;;;;;;;;;;;;x
GBR_prussian_constitutionalism;Empire of New Granada;;;;;;;;;;;;;x
GBR_prussian_constitutionalism_ADJ;New Granadan;;;;;;;;;;;;;x
GBU;Gabu;Gabou;Gabu;;Gabu;;;;;;;;;;x;;;;;;;;;;;;;;
GBU;Guinea-Bissau;;;;;;;;;;;;;
GBU_absolute_monarchy;Gabu;;;;;;;;;;;;;
GBU_absolute_monarchy_ADJ;Gabuan;;;;;;;;;;;;;
GBU_ADJ;Bissau-Guinean;;;;;;;;;;;;;
GBU_ADJ;Gabuan;GabuÈen;Gabuisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_anarcho_liberal;Democratic Party of Progress;;;;;;;;;;;;;
GBU_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_communist;African Party of Independence;;;;;;;;;;;;;
GBU_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_conservative;Mansaba Faction;Faction Mansaba;Mansaba Fraktion;;;;;;;;;;;
GBU_conservative;Mansaba Faction;Faction Mansaba;Mansaba Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_conservative_2;Democratic Front;;;;;;;;;;;;;
GBU_fascist;Bafat· Movement;;;;;;;;;;;;;
GBU_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
GBU_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_liberal_2;Party for Social Renewal;;;;;;;;;;;;;
GBU_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;
GBU_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_reactionary_2;Guinean Civic Forum;;;;;;;;;;;;;
GBU_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GBU_socialist;Struggle Front for Independence;;;;;;;;;;;;;
GCO;Gran Colombia;;;;;;;;;;;;;
GCO;Gran Colombia;;;;;;;;;;;;x
GCO_absolute_monarchy;New Granada;;;;;;;;;;;;;
GCO_absolute_monarchy;New Granada;;;;;;;;;;;;x
GCO_absolute_monarchy_ADJ;New Granadan;;;;;;;;;;;;;
GCO_absolute_monarchy_ADJ;New Granadan;;;;;;;;;;;;x
GCO_ADJ;Colombian;;;;;;;;;;;;;
GCO_ADJ;Colombian;;;;;;;;;;;;x
GCO_communist;Partido Communista;;;;;;;;;;;;;
GCO_fascist;Partido Fascista;;;;;;;;;;;;;
GCO_hms_government;New Granada;;;;;;;;;;;;;
GCO_hms_government;New Granada;;;;;;;;;;;;x
GCO_hms_government_ADJ;New Granadan;;;;;;;;;;;;;
GCO_hms_government_ADJ;New Granadan;;;;;;;;;;;;x
GCO_prussian_constitutionalism;New Granada;;;;;;;;;;;;;
GCO_prussian_constitutionalism;New Granada;;;;;;;;;;;;x
GCO_prussian_constitutionalism_ADJ;New Granadan;;;;;;;;;;;;;
GCO_prussian_constitutionalism_ADJ;New Granadan;;;;;;;;;;;;x
GEL;Geledi;Geledi;Geledi;;Geledi;;;;;;;;;
GEL;Geledi;Geledi;Geledi;;Geledi;;;;;;;;;;x;;;;;;;;;;;;;;
GEL_ADJ;Geledi;Geledien;Geledisch;;;;;;;;;;;
GEL_ADJ;Geledi;Geledien;Geledisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
GEL_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facciÛn radical;;;;;;;;;
GEL_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facciÛn radical;;;;;;;;;x;;;;;;;;;;;;;;
GEL_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facciÛn comunista;;;;;;;;;
GEL_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facciÛn comunista;;;;;;;;;x;;;;;;;;;;;;;;
GEL_conservative;Sheikal Faction;Faction Sheikal;Scheichsfraktion;;FacciÛn de jeques;;;;;;;;;
GEL_conservative;Sheikal Faction;Faction Sheikal;Scheichsfraktion;;FacciÛn de jeques;;;;;;;;;x;;;;;;;;;;;;;;
GEL_fascist;The Greater Somalia Faction;La Faction Grande Somalie;Die Grˆﬂere Somalia Fraktion;;El Gran Somalia FacciÛn;;;;;;;;;
GEL_fascist;The Greater Somalia Faction;La Faction Grande Somalie;Die Grˆﬂere Somalia Fraktion;;El Gran Somalia FacciÛn;;;;;;;;;x;;;;;;;;;;;;;;
GEL_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La facciÛn liberal;;;;;;;;;
GEL_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La facciÛn liberal;;;;;;;;;x;;;;;;;;;;;;;;
GEL_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facciÛn nacionalista;;;;;;;;;
GEL_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facciÛn nacionalista;;;;;;;;;x;;;;;;;;;;;;;;
GEL_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facciÛn socialista;;;;;;;;;
GEL_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facciÛn socialista;;;;;;;;;x;;;;;;;;;;;;;;
GEO_anarcho_liberal;Sakartvelos Gza;;;;;;;;;;;;;
GEO_communist;Sakartvelos Komunisturi;;;;;;;;;;;;;
GEO_conservative;Demokratiuli Modzraoba;;;;;;;;;;;;;
GEO_fascist;Erovnuli Sotsialisturi;;;;;;;;;;;;;
GEO_liberal;Sakartvelos Respublikuri;;;;;;;;;;;;;
GEO_reactionary;Natsionaluri Modzraoba;;;;;;;;;;;;;
GEO_socialist;Sakartvelos Leiboristuli;;;;;;;;;;;;;
GER_fascist;NSDAP;;;;;;;;;;;;;
GER_hms_government;German Empire;;;;;;;;;;;;x
GER_hms_government;The German Empire;;;;;;;;;;;;;
GHN;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;
GHN_ADJ;Ghanaian;Ghanaian;Ghanaisch;;GhanÈs;;;;;;;;;
GLC;Galicia;;;;;;;;;;;;;
GLC;Galicia;;;;;;;;;;;;;x
GLC_ADJ;Galician;;;;;;;;;;;;;
GLC_ADJ;Galician;;;;;;;;;;;;;x
GLC_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
GLC_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLC_communist;FederaciÛn Regional;FederaciÛn Regional;FederaciÛn Regional;;;;;;;;;;;
GLC_communist;FederaciÛn Regional;FederaciÛn Regional;FederaciÛn Regional;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLC_conservative;Partido Moderado;Partido Moderado;Partido Moderado;;;;;;;;;;;
GLC_conservative;Partido Moderado;Partido Moderado;Partido Moderado;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLC_fascist;Partido Fascist;Falange;Falange;;;;;;;;;;;
GLC_fascist;Partido Fascist;Falange;Falange;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLC_liberal;Partido Progresista;Partido Progresista;Partido Progresista;;;;;;;;;;;
GLC_liberal;Partido Progresista;Partido Progresista;Partido Progresista;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLC_reactionary;Partido Nationalist;ComuniÛn Carlista;ComuniÛn Carlista;;;;;;;;;;;
GLC_reactionary;Partido Nationalist;ComuniÛn Carlista;ComuniÛn Carlista;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLC_socialist;Partido Socialista;Partido Socialista;Partido Socialista;;;;;;;;;;;
GLC_socialist;Partido Socialista;Partido Socialista;Partido Socialista;;;;;;;;;;;;x;;;;;;;;;;;;;;
GLM;Galicia-Lodomeria;Galicie-Lodomerie;Galizien-Lodomerien;;Galitzia-Lodomeria;;;;;;;;;
GLM;Galicia-Lodomeria;Galicie-Lodomerie;Galizien-Lodomerien;;Galitzia-Lodomeria;;;;;;;;;;x;;;;;;;;;;;;;;
GLM_ADJ;Galician;Galicien;Galiziener;;Galiciano;;;;;;;;;
GLM_ADJ;Galician;Galicien;Galiziener;;Galiciano;;;;;;;;;;x;;;;;;;;;;;;;;
GMB;Gambia;;;;;;;;;;;;;
GMB;Gambia;;;;;;;;;;;;x
GMB_ADJ;Gambian;;;;;;;;;;;;;
GMB_ADJ;Gambian;;;;;;;;;;;;x
GMB_anarcho_liberal;National Convention Party;;;;;;;;;;;;;
GMB_communist;Gambian People's Party;;;;;;;;;;;;;
GMB_conservative;Democratic Party;;;;;;;;;;;;;
GMB_fascist;Gambia Congress Party;;;;;;;;;;;;;
GMB_liberal;United Party;;;;;;;;;;;;;
GMB_reactionary;Muslim Congress Party;;;;;;;;;;;;;
GMB_socialist;People's Progressive Party;;;;;;;;;;;;;
GMJ;Guominjun;;;;;;;;;;;;;
GMJ;Guominjun;;;;;;;;;;;;;x
GMJ_ADJ;Guominjun;;;;;;;;;;;;;
GMJ_ADJ;Guominjun;;;;;;;;;;;;;;x
GMJ_anarcho_liberal;Freedom Party;Parti de la libertÈ;Freiheitspartei;;;;;;;;;;;
GMJ_anarcho_liberal;Freedom Party;Parti de la libertÈ;Freiheitspartei;;;;;;;;;;;x
GMJ_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;;;;;;;;;;;
GMJ_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;;;;;;;;;;;x
GMJ_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
GMJ_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;x
GMJ_fascist;Fascist Party;Parti fasciste;Faschistische Partei;;;;;;;;;;;
GMJ_fascist;Fascist Party;Parti fasciste;Faschistische Partei;;;;;;;;;;;x
GMJ_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;
GMJ_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;x
GMJ_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;;;;;;;;;;;
GMJ_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;;;;;;;;;;;x
GMJ_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;;;;;;;;;;;
GMJ_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;;;;;;;;;;;x
GMN;Germania;;;;;;;;;;;;x
GMN_absolute_monarchy;Kingdom of Germania;;;;;;;;;;;;x 
GMN_ADJ;Germanian;;;;;;;;;;;;x
GMN_hms_government;Kingdom of Germania;;;;;;;;;;;;x
GMN_prussian_constitutionalism;Kingdom of Germania;;;;;;;;;;;;x
GNE;Guinea;;;;;;;;;;;;;
GNE;Guinea;;;;;;;;;;;;x
GNE_ADJ;Guinean;;;;;;;;;;;;;
GNE_ADJ;Guinean;;;;;;;;;;;;x
GNE_anarcho_liberal;Union for the Progress;;;;;;;;;;;;;
GNE_communist;Guinean People's Assembly;;;;;;;;;;;;;
GNE_conservative;African Bloc of Guinea;;;;;;;;;;;;;
GNE_fascist;National Union for the Prosperity;;;;;;;;;;;;;
GNE_liberal;Union for Progress and Renewal;;;;;;;;;;;;;
GNE_reactionary;Democratic Party of Guinea;;;;;;;;;;;;;
GNE_socialist;Socialist Democracy of Guinea;;;;;;;;;;;;;
GNG;Guangdong;;;;;;;;;;;;;
GNG;Guangdong;;;;;;;;;;;;x
GNG_ADJ;Guangdong;;;;;;;;;;;;;
GNG_ADJ;Guangdong;;;;;;;;;;;;x
GNG_anarcho_liberal;Freedom Party;Parti de la libertÈ;Freiheitspartei;;;;;;;;;;;
GNG_anarcho_liberal;Freedom Party;Parti de la libertÈ;Freiheitspartei;;;;;;;;;;;x
GNG_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;;;;;;;;;;;
GNG_communist;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei China;;;;;;;;;;;x
GNG_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;
GNG_conservative;Kuomintang Faction;Faction Kuomintang;Guomintang-Fraktion;;;;;;;;;;;x
GNG_fascist;Fascist Party;Parti fasciste;Faschistische Partei;;;;;;;;;;;
GNG_fascist;Fascist Party;Parti fasciste;Faschistische Partei;;;;;;;;;;;x
GNG_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;
GNG_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;x
GNG_presidential_dictatorship;Guangdong Clique;;;;;;;;;;;;;
GNG_presidential_dictatorship;Guangdong Clique;;;;;;;;;;;;x
GNG_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;;;;;;;;;;;
GNG_reactionary;Beiyang Faction;Faction Rongting;Rongting-Fraktion;;;;;;;;;;;x
GNG_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;;;;;;;;;;;
GNG_socialist;Socialist Party;Parti socialiste;Sozialistische Partei;;;;;;;;;;;x
GON;Gonder;Gonder;Gonder;;Gonder;;;;;;;;;
GON;Gonder;Gonder;Gonder;;Gonder;;;;;;;;;;x;;;;;;;;;;;;;;
GON_ADJ;Amhara;Amhara;Amhara;;;;;;;;;;;
GON_ADJ;Gonderan;Gonderienne;Gonderische;;;;;;;;;;;;x;;;;;;;;;;;;;;
GON_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
GON_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GON_communist;Communist Party;Parti communiste;Kommunistische Partei;;;;;;;;;;;
GON_communist;Communist Party;Parti communiste;Kommunistische Partei;;;;;;;;;;;;x;;;;;;;;;;;;;;
GON_conservative;Imperial Faction;Faction impÈriale;Imperialen Fraktion;;;;;;;;;;;
GON_conservative;Imperial Faction;Faction impÈriale;Imperialen Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
GON_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
GON_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
